"Kod";"Nazwa";"grunty orne ogółem;2013;[zł]";"grunty orne ogółem;2014;[zł]";"grunty orne ogółem;2015;[zł]";"grunty orne ogółem;2016;[zł]";"grunty orne ogółem;2017;[zł]";"grunty orne ogółem;2018;[zł]";"grunty orne ogółem;2019;[zł]";"grunty orne ogółem;2020;[zł]";"grunty orne ogółem;2021;[zł]";"grunty orne dobre (klasy I, II, IIIa);2013;[zł]";"grunty orne dobre (klasy I, II, IIIa);2014;[zł]";"grunty orne dobre (klasy I, II, IIIa);2015;[zł]";"grunty orne dobre (klasy I, II, IIIa);2016;[zł]";"grunty orne dobre (klasy I, II, IIIa);2017;[zł]";"grunty orne dobre (klasy I, II, IIIa);2018;[zł]";"grunty orne dobre (klasy I, II, IIIa);2019;[zł]";"grunty orne dobre (klasy I, II, IIIa);2020;[zł]";"grunty orne dobre (klasy I, II, IIIa);2021;[zł]";"grunty orne średnie (klasy IIIb, IV);2013;[zł]";"grunty orne średnie (klasy IIIb, IV);2014;[zł]";"grunty orne średnie (klasy IIIb, IV);2015;[zł]";"grunty orne średnie (klasy IIIb, IV);2016;[zł]";"grunty orne średnie (klasy IIIb, IV);2017;[zł]";"grunty orne średnie (klasy IIIb, IV);2018;[zł]";"grunty orne średnie (klasy IIIb, IV);2019;[zł]";"grunty orne średnie (klasy IIIb, IV);2020;[zł]";"grunty orne średnie (klasy IIIb, IV);2021;[zł]";"grunty orne słabe (klasy V, VI);2013;[zł]";"grunty orne słabe (klasy V, VI);2014;[zł]";"grunty orne słabe (klasy V, VI);2015;[zł]";"grunty orne słabe (klasy V, VI);2016;[zł]";"grunty orne słabe (klasy V, VI);2017;[zł]";"grunty orne słabe (klasy V, VI);2018;[zł]";"grunty orne słabe (klasy V, VI);2019;[zł]";"grunty orne słabe (klasy V, VI);2020;[zł]";"grunty orne słabe (klasy V, VI);2021;[zł]";"łąki ogółem;2013;[zł]";"łąki ogółem;2014;[zł]";"łąki ogółem;2015;[zł]";"łąki ogółem;2016;[zł]";"łąki ogółem;2017;[zł]";"łąki ogółem;2018;[zł]";"łąki ogółem;2019;[zł]";"łąki ogółem;2020;[zł]";"łąki ogółem;2021;[zł]";"łąki dobre;2013;[zł]";"łąki dobre;2014;[zł]";"łąki dobre;2015;[zł]";"łąki dobre;2016;[zł]";"łąki dobre;2017;[zł]";"łąki dobre;2018;[zł]";"łąki dobre;2019;[zł]";"łąki dobre;2020;[zł]";"łąki dobre;2021;[zł]";"łąki słabe;2013;[zł]";"łąki słabe;2014;[zł]";"łąki słabe;2015;[zł]";"łąki słabe;2016;[zł]";"łąki słabe;2017;[zł]";"łąki słabe;2018;[zł]";"łąki słabe;2019;[zł]";"łąki słabe;2020;[zł]";"łąki słabe;2021;[zł]";
0000000;"POLSKA";26339;32317;38579;39631;41287;44381;47233;47589;49929;32273;42538;51982;51987;52578;55487;58256;59797;60236;26973;32751;39149;40265;42198;45621;48703;49206;51699;20187;23460;26957;27659;29279;31663;34625;34692;36953;17848;22094;24595;25282;25679;27735;28921;30529;32189;19771;24174;26538;27215;27655;30346;31164;32922;34469;15685;18200;20911;22129;22298;23236;25435;27170;28848;
0200000;"DOLNOŚLĄSKIE";27802;32397;36024;35798;36591;36498;37104;39320;41768;35374;42106;50570;46828;47622;46941;46197;46485;46342;26661;31864;34642;35748;36422;35946;36458;39211;42693;19408;23903;27431;26598;26295;28533;29213;32731;34939;16618;21537;24632;25677;29949;22571;27277;24261;30429;17806;22763;25939;27343;31636;23081;28185;25667;31864;15169;19402;22474;23519;20666;21579;26050;21625;25167;
0400000;"KUJAWSKO-POMORSKIE";36377;44389;53512;54320;55784;56070;56048;55727;59839;43597;53841;65867;67642;66686;67672;69072;68387;73349;36170;43458;52594;53097;55657;55442;55742;55310;60030;27968;32800;36717;36786;37706;40617;42913;40484;42763;23868;30232;32035;33769;33374;27825;31374;29794;32541;26410;32454;33110;36196;35828;30002;32702;30983;33931;20838;23946;29250;28739;27944;23155;29147;27865;29556;
0600000;"LUBELSKIE";18140;23318;26331;28004;30680;31519;35016;35492;40422;23048;32980;39685;40650;43869;47067;51647;54481;60400;18132;23372;26022;27198;30297;31090;34076;35785;40405;13009;16300;17154;18173;19315;20715;23373;23898;26551;9474;14568;14995;14236;14607;16568;16192;18258;19316;10327;16049;15730;15816;15898;16189;17188;19608;20889;8362;11952;13476;11852;12166;17457;13900;16619;17032;
0800000;"LUBUSKIE";17312;21723;24573;27247;28800;28758;30472;30303;33245;20717;26398;32324;36900;41961;34194;33941;40000;35526;18143;22812;25877;28580;30347;30492;32819;31174;34214;14404;18634;21085;23690;24100;25494;27123;28245;31788;12997;16530;16368;20394;19755;21813;22094;21889;28125;14173;16979;16737;21442;20290;24438;24200;28333;30000;11817;15538;15839;18435;19000;19188;20235;18667;25000;
1000000;"ŁÓDZKIE";25811;30137;34323;36104;36074;38014;41253;41814;44606;31711;39367;49306;50607;50128;53500;57262;58648;62339;27066;31617;35783;37787;38074;40284;43362;44999;48471;19886;22673;24606;26025;26065;27268;31944;32299;34351;17364;22710;23709;23954;22771;20239;23697;30808;23682;19262;25167;26778;25758;25294;24636;24737;32907;26539;15378;19302;18648;21119;18135;15841;22286;26083;19556;
1200000;"MAŁOPOLSKIE";22459;26656;29916;30403;30857;31942;34808;37142;42997;26336;33423;35792;37841;37962;37997;40670;44819;49909;21695;24979;28550;27711;28552;29409;32482;33417;38936;16955;19253;23104;21010;22540;21963;27274;26929;28582;15731;18844;21110;21245;21695;20917;22517;21647;25614;16832;19459;22366;22434;22528;23209;23077;23333;26968;14401;17340;15413;17148;16647;15118;17667;19750;22200;
1400000;"MAZOWIECKIE";28301;31202;36262;36821;39179;40034;40953;44466;47911;36907;43309;51821;55959;55355;57508;61424;62779;65133;29064;32883;37859;38220;39993;41565;43080;45981;49707;21542;22173;26240;26534;29743;30716;30139;33974;37894;21969;23947;27203;29803;29097;33819;27681;32678;35530;24641;26815;30738;32436;31348;38212;29169;35034;39961;19081;19515;22394;25941;26040;26831;25817;30005;30957;
1600000;"OPOLSKIE";31283;40919;47337;46468;46682;48115;48280;48928;52331;39959;57096;66365;65204;67012;68276;66938;68434;72202;30404;38019;43454;43192;43514;44685;44578;46260;50617;21289;25865;28634;28205;29829;30665;32608;31713;34406;18337;24839;29362;23178;22273;24977;26647;28643;34234;20419;28025;32640;25593;24355;30485;30273;31167;37966;15791;18333;24243;19422;20235;19125;20000;13500;31143;
1800000;"PODKARPACKIE";16459;19699;21573;23222;24185;24759;27835;29355;32513;18873;22907;26193;28567;30010;31391;35383;38320;41088;16325;20008;21562;22877;23830;23532;26620;27587;30638;13893;16094;16478;17395;17072;17618;19920;20955;22255;13030;15648;15535;18791;18020;20422;19025;22278;22429;13856;16427;15535;19716;19403;21500;20035;24286;23095;12125;13377;15530;16208;14022;18947;16364;15250;20429;
2000000;"PODLASKIE";26078;30059;34145;37197;37643;41784;45390;48090;54629;30456;38186;50544;52926;51860;60814;68913;65971;74250;28544;31912;36265;39355;40433;45719;51052;53582;60508;20601;24537;27082;28769;30726;34023;34142;37719;42551;22398;23904;25921;30878;30323;34402;30544;33758;38805;26071;26567;27095;31955;31949;36907;32412;36085;40833;18289;18995;22333;28723;25841;27281;27783;31273;36371;
2200000;"POMORSKIE";27891;32517;38984;38909;39539;39709;41668;43454;48364;34718;42475;58652;55507;59626;60079;58231;63744;61111;28013;32946;39094;39042;38971;40592;42826;44333;49502;22299;26638;30070;31855;31834;32058;34448;37383;43491;19880;22454;26141;26570;27725;27948;26300;26426;35000;21804;23738;26836;28197;33812;27727;26786;28733;34455;17541;20582;25108;23316;23666;28240;25682;22353;35462;
2400000;"ŚLĄSKIE";25157;31621;33109;33151;35780;35679;39468;39328;41164;32229;45100;47553;51550;53023;55133;57301;57302;56105;25242;32686;35031;33658;38115;36110;40976;40404;42868;18561;20147;21946;22594;22666;22246;22383;27743;28291;18041;23019;27222;21961;23368;24625;19444;24639;26273;19645;25548;30187;23304;27323;34833;22333;32182;29846;16186;17200;19923;19900;19411;14417;18000;21320;21111;
2600000;"ŚWIĘTOKRZYSKIE";19382;22409;24981;26283;27931;28286;30777;32472;35081;24651;28950;33607;34912;36946;35885;38790;40878;43748;18309;21378;23045;23668;24953;25524;27638;29672;31331;13738;14753;16122;17066;17379;19184;18297;20049;21010;9675;14404;14192;14417;14356;20416;15153;15870;17679;11124;15745;16144;15827;15032;23630;17121;17559;18841;8148;12336;11483;11861;12680;16183;12914;13000;15977;
2800000;"WARMIŃSKO-MAZURSKIE";21871;29454;36959;38962;41444;43740;43510;46244;49729;26556;35840;45459;45021;50325;50293;49422;56986;59333;22606;30504;38020;42030;43279;45968;45189;48096;52494;18574;24762;31263;30746;33036;37197;38486;37597;41290;18357;23543;23275;24058;21326;28740;27613;27831;34218;19753;25088;25383;25856;23382;30308;30412;28514;35290;16872;19117;19271;21649;18084;26538;21667;26833;31824;
3000000;"WIELKOPOLSKIE";36838;43389;52053;54007;56721;60932;62435;63405;70675;44440;54988;67562;68780;71724;77788;81945;83257;90016;38286;44782;53831;56240;59036;63498;65237;66132;74158;28328;31251;35834;37311;41137;42432;44889;45667;51980;21757;26155;28866;29918;32011;33340;36830;37816;42055;24086;28987;31890;32610;35481;35743;40427;40762;44230;19119;21351;23601;26130;27191;28731;31306;32500;37672;
3200000;"ZACHODNIOPOMORSKIE";20173;23568;27279;27859;28693;28143;29005;28891;31923;22419;28571;35706;33931;37205;34373;35056;36888;43000;20767;24377;27829;28746;28686;28582;29267;29347;32115;17613;19376;22368;22025;22235;23102;22115;20791;26772;13864;15974;16886;16800;16614;17257;18315;16907;23333;14660;16867;18228;18054;17494;18636;20233;16988;23333;12987;14727;14893;15476;15361;15432;16653;16800;0;
