"Kod";"Nazwa";"ogółem;ogółem;2010;[zł]";"ogółem;ogółem;2011;[zł]";"ogółem;ogółem;2012;[zł]";"ogółem;ogółem;2013;[zł]";"ogółem;ogółem;2014;[zł]";"ogółem;ogółem;2015;[zł]";"ogółem;ogółem;2016;[zł]";"ogółem;ogółem;2017;[zł]";"ogółem;ogółem;2018;[zł]";"ogółem;ogółem;2019;[zł]";"ogółem;ogółem;2020;[zł]";"ogółem;do 40 m2;2010;[zł]";"ogółem;do 40 m2;2011;[zł]";"ogółem;do 40 m2;2012;[zł]";"ogółem;do 40 m2;2013;[zł]";"ogółem;do 40 m2;2014;[zł]";"ogółem;do 40 m2;2015;[zł]";"ogółem;do 40 m2;2016;[zł]";"ogółem;do 40 m2;2017;[zł]";"ogółem;do 40 m2;2018;[zł]";"ogółem;do 40 m2;2019;[zł]";"ogółem;do 40 m2;2020;[zł]";"ogółem;od 40,1 do 60 m2;2010;[zł]";"ogółem;od 40,1 do 60 m2;2011;[zł]";"ogółem;od 40,1 do 60 m2;2012;[zł]";"ogółem;od 40,1 do 60 m2;2013;[zł]";"ogółem;od 40,1 do 60 m2;2014;[zł]";"ogółem;od 40,1 do 60 m2;2015;[zł]";"ogółem;od 40,1 do 60 m2;2016;[zł]";"ogółem;od 40,1 do 60 m2;2017;[zł]";"ogółem;od 40,1 do 60 m2;2018;[zł]";"ogółem;od 40,1 do 60 m2;2019;[zł]";"ogółem;od 40,1 do 60 m2;2020;[zł]";"ogółem;od 60,1 do 80 m2;2010;[zł]";"ogółem;od 60,1 do 80 m2;2011;[zł]";"ogółem;od 60,1 do 80 m2;2012;[zł]";"ogółem;od 60,1 do 80 m2;2013;[zł]";"ogółem;od 60,1 do 80 m2;2014;[zł]";"ogółem;od 60,1 do 80 m2;2015;[zł]";"ogółem;od 60,1 do 80 m2;2016;[zł]";"ogółem;od 60,1 do 80 m2;2017;[zł]";"ogółem;od 60,1 do 80 m2;2018;[zł]";"ogółem;od 60,1 do 80 m2;2019;[zł]";"ogółem;od 60,1 do 80 m2;2020;[zł]";"ogółem;od 80,1 m2;2010;[zł]";"ogółem;od 80,1 m2;2011;[zł]";"ogółem;od 80,1 m2;2012;[zł]";"ogółem;od 80,1 m2;2013;[zł]";"ogółem;od 80,1 m2;2014;[zł]";"ogółem;od 80,1 m2;2015;[zł]";"ogółem;od 80,1 m2;2016;[zł]";"ogółem;od 80,1 m2;2017;[zł]";"ogółem;od 80,1 m2;2018;[zł]";"ogółem;od 80,1 m2;2019;[zł]";"ogółem;od 80,1 m2;2020;[zł]";"rynek pierwotny;ogółem;2010;[zł]";"rynek pierwotny;ogółem;2011;[zł]";"rynek pierwotny;ogółem;2012;[zł]";"rynek pierwotny;ogółem;2013;[zł]";"rynek pierwotny;ogółem;2014;[zł]";"rynek pierwotny;ogółem;2015;[zł]";"rynek pierwotny;ogółem;2016;[zł]";"rynek pierwotny;ogółem;2017;[zł]";"rynek pierwotny;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2019;[zł]";"rynek pierwotny;ogółem;2020;[zł]";"rynek pierwotny;do 40 m2;2010;[zł]";"rynek pierwotny;do 40 m2;2011;[zł]";"rynek pierwotny;do 40 m2;2012;[zł]";"rynek pierwotny;do 40 m2;2013;[zł]";"rynek pierwotny;do 40 m2;2014;[zł]";"rynek pierwotny;do 40 m2;2015;[zł]";"rynek pierwotny;do 40 m2;2016;[zł]";"rynek pierwotny;do 40 m2;2017;[zł]";"rynek pierwotny;do 40 m2;2018;[zł]";"rynek pierwotny;do 40 m2;2019;[zł]";"rynek pierwotny;do 40 m2;2020;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2010;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2011;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2012;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2013;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2014;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2015;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2016;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2017;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2018;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2019;[zł]";"rynek pierwotny;od 40,1 do 60 m2;2020;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2010;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2011;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2012;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2013;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2014;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2015;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2016;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2017;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2018;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2019;[zł]";"rynek pierwotny;od 60,1 do 80 m2;2020;[zł]";"rynek pierwotny;od 80,1 m2;2010;[zł]";"rynek pierwotny;od 80,1 m2;2011;[zł]";"rynek pierwotny;od 80,1 m2;2012;[zł]";"rynek pierwotny;od 80,1 m2;2013;[zł]";"rynek pierwotny;od 80,1 m2;2014;[zł]";"rynek pierwotny;od 80,1 m2;2015;[zł]";"rynek pierwotny;od 80,1 m2;2016;[zł]";"rynek pierwotny;od 80,1 m2;2017;[zł]";"rynek pierwotny;od 80,1 m2;2018;[zł]";"rynek pierwotny;od 80,1 m2;2019;[zł]";"rynek pierwotny;od 80,1 m2;2020;[zł]";"rynek wtórny;ogółem;2010;[zł]";"rynek wtórny;ogółem;2011;[zł]";"rynek wtórny;ogółem;2012;[zł]";"rynek wtórny;ogółem;2013;[zł]";"rynek wtórny;ogółem;2014;[zł]";"rynek wtórny;ogółem;2015;[zł]";"rynek wtórny;ogółem;2016;[zł]";"rynek wtórny;ogółem;2017;[zł]";"rynek wtórny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2019;[zł]";"rynek wtórny;ogółem;2020;[zł]";"rynek wtórny;do 40 m2;2010;[zł]";"rynek wtórny;do 40 m2;2011;[zł]";"rynek wtórny;do 40 m2;2012;[zł]";"rynek wtórny;do 40 m2;2013;[zł]";"rynek wtórny;do 40 m2;2014;[zł]";"rynek wtórny;do 40 m2;2015;[zł]";"rynek wtórny;do 40 m2;2016;[zł]";"rynek wtórny;do 40 m2;2017;[zł]";"rynek wtórny;do 40 m2;2018;[zł]";"rynek wtórny;do 40 m2;2019;[zł]";"rynek wtórny;do 40 m2;2020;[zł]";"rynek wtórny;od 40,1 do 60 m2;2010;[zł]";"rynek wtórny;od 40,1 do 60 m2;2011;[zł]";"rynek wtórny;od 40,1 do 60 m2;2012;[zł]";"rynek wtórny;od 40,1 do 60 m2;2013;[zł]";"rynek wtórny;od 40,1 do 60 m2;2014;[zł]";"rynek wtórny;od 40,1 do 60 m2;2015;[zł]";"rynek wtórny;od 40,1 do 60 m2;2016;[zł]";"rynek wtórny;od 40,1 do 60 m2;2017;[zł]";"rynek wtórny;od 40,1 do 60 m2;2018;[zł]";"rynek wtórny;od 40,1 do 60 m2;2019;[zł]";"rynek wtórny;od 40,1 do 60 m2;2020;[zł]";"rynek wtórny;od 60,1 do 80 m2;2010;[zł]";"rynek wtórny;od 60,1 do 80 m2;2011;[zł]";"rynek wtórny;od 60,1 do 80 m2;2012;[zł]";"rynek wtórny;od 60,1 do 80 m2;2013;[zł]";"rynek wtórny;od 60,1 do 80 m2;2014;[zł]";"rynek wtórny;od 60,1 do 80 m2;2015;[zł]";"rynek wtórny;od 60,1 do 80 m2;2016;[zł]";"rynek wtórny;od 60,1 do 80 m2;2017;[zł]";"rynek wtórny;od 60,1 do 80 m2;2018;[zł]";"rynek wtórny;od 60,1 do 80 m2;2019;[zł]";"rynek wtórny;od 60,1 do 80 m2;2020;[zł]";"rynek wtórny;od 80,1 m2;2010;[zł]";"rynek wtórny;od 80,1 m2;2011;[zł]";"rynek wtórny;od 80,1 m2;2012;[zł]";"rynek wtórny;od 80,1 m2;2013;[zł]";"rynek wtórny;od 80,1 m2;2014;[zł]";"rynek wtórny;od 80,1 m2;2015;[zł]";"rynek wtórny;od 80,1 m2;2016;[zł]";"rynek wtórny;od 80,1 m2;2017;[zł]";"rynek wtórny;od 80,1 m2;2018;[zł]";"rynek wtórny;od 80,1 m2;2019;[zł]";"rynek wtórny;od 80,1 m2;2020;[zł]";
0000000;"POLSKA";25303061771;26016945891;26778990716;30577220778;30870755044;36668082333;40876581309;45511523674;54328185642;59270347455;62080982379;3812590107;3900877321;3844104794;4454453164;4573837880;5522550723;6124858709;6924231805;8359311069;9236067915;9746415788;10457759888;10873833549;11135041037;12812334811;12941344739;15667664567;17457117092;19405219833;22032087896;24115737604;25262579352;6383055843;6612466291;7018411499;7673628192;7826791510;9134198895;10273218538;11703519389;14361126818;15429268640;15738732625;4649655933;4629768730;4781433386;5636804611;5528780915;6343668148;7021386970;7478552647;9575659859;10489273296;11333254614;10937317084;10918675432;13091920822;15503563615;15276511096;17609411569;19666991740;20834194729;25328822800;26046986623;29880158528;1096914963;1053073332;1235963174;1577468264;1696886730;2137762032;2472115041;2664235483;3298131628;3401029718;4069834969;4430598144;4459324766;5358787158;6444361061;6441365561;7736216086;8686973630;8989169787;10229342357;10223981695;11615681211;3030280455;3064496303;3804724895;4220844372;4164092216;4593341942;5208136527;5725597688;7378113745;7580599483;8307515580;2379523522;2341781031;2692445595;3260889918;2974166589;3142091509;3299766542;3455191771;4423235070;4841375727;5887126768;14365744687;15098270459;13687069894;15073657163;15594243948;19058670764;21209589569;24677328945;28999362842;33223360832;32200823851;2715675144;2847803989;2608141620;2876984900;2876951150;3384788691;3652743668;4259996322;5061179441;5835038197;5676580819;6027161744;6414508783;5776253879;6367973750;6499979178;7931448481;8770143462;10416050046;11802745539;13891755909;13646898141;3352775388;3547969988;3213686604;3452783820;3662699294;4540856953;5065082011;5977921701;6983013073;7848669157;7431217045;2270132411;2287987699;2088987791;2375914693;2554614326;3201576639;3721620428;4023360876;5152424789;5647897569;5446127846;
0200000;"DOLNOŚLĄSKIE";3313038849;3259701514;3271675298;4242485952;3721302030;4187440553;5118367761;5428927693;6179750841;6709263606;5473376874;442378502;447804363;416664364;557142199;481865101;552117959;681953629;801226354;833677958;940229352;789646234;1487911210;1433152134;1403522227;1798393047;1623387437;1866004832;2190876389;2291382108;2522679182;2791279212;2271079216;890561061;847047293;915741368;1072718012;991541781;1115757868;1408869964;1471134061;1777049328;1850113446;1454710448;492188076;531697724;535747339;814232694;624507711;653559894;836667779;865185170;1046344373;1127641596;957940976;1413846534;1333550284;1572390869;2356021105;2027757375;2025532587;2616673659;2591697087;3003083634;2881509838;2138252278;125080962;127448901;137661556;248924663;214942688;216701347;316318850;347135982;337249052;353892506;264281640;664601355;596374692;680469261;1009112620;912409767;947566903;1141006794;1130338942;1241126747;1203440145;895162661;402350710;360704740;480449141;588752407;549119832;541284082;736635599;697949672;909489576;846958101;603760681;221813507;249021951;273810911;509231415;351285088;319980255;422712416;416272491;515218259;477219086;375047296;1899192315;1926151230;1699284429;1886464847;1693544655;2161907966;2501694102;2837230606;3176667207;3827753768;3335124596;317297540;320355462;279002808;308217536;266922413;335416612;365634779;454090372;496428906;586336846;525364594;823309855;836777442;723052966;789280427;710977670;918437929;1049869595;1161043166;1281552435;1587839067;1375916555;488210351;486342553;435292227;483965605;442421949;574473786;672234365;773184389;867559752;1003155345;850949767;270374569;282675773;261936428;305001279;273222623;333579639;413955363;448912679;531126114;650422510;582893680;
0201000;"Powiat bolesławiecki";21430202;15126604;18984846;30854408;14716812;44293908;77307787;82734329;88819247;108823819;93825791;4890830;2799500;3752110;4722576;3316162;4802649;8815660;10156360;10341767;8285618;8259507;10705882;6427504;7839280;12904277;7341850;14248973;30474975;32119690;31267102;38880447;35715970;5207990;4374000;5490756;10845405;3270400;17294396;29559994;28783602;30299399;38501459;34675750;625500;1525600;1902700;2382150;788400;7947890;8457158;11674677;16910979;23156295;15174564;0;0;0;4689849;1168800;1379480;9269900;903000;15318110;16374000;27597345;0;0;0;0;0;0;0;0;343550;0;1465000;0;0;0;721405;747800;429000;4457353;903000;5239805;2749000;12293170;0;0;0;3119069;0;0;4812547;0;7223197;4992000;9331860;0;0;0;0;0;0;0;0;2511558;8573000;4507315;21430202;15126604;18984846;26164559;13548012;42914428;68037887;81831329;73501137;92449819;66228446;4890830;2799500;3752110;4461951;3090162;4802649;8815660;10156360;9998217;8225618;6794507;10705882;6427504;7839280;12182872;6594050;13819973;26017622;31216690;26027297;36131447;23422800;5207990;4374000;5490756;7726336;3075400;16872396;24747447;28783602;23076202;33509459;25343890;625500;1525600;1902700;1793400;788400;7419410;8457158;11674677;14399421;14583295;10667249;
0202000;"Powiat dzierżoniowski";31881037;28689957;24247666;27058077;26465055;30516335;30428939;31969720;44107971;58082325;63208575;7409349;6825095;5228028;5422891;3455686;6405003;6619957;6597260;11309551;13717867;15992363;15713081;12822340;11876726;11149507;11821858;14795271;12482215;14382185;19062265;24638620;28577780;6683607;5324275;4842085;6783616;6953019;7241135;7992018;7189438;7644155;12263278;10414270;2075000;3718247;2300827;3702063;4234492;2074926;3334749;3800837;6092000;7462560;8224162;749050;0;0;3657644;11446558;3973911;2122112;0;1696510;1345740;3677626;0;0;0;0;0;0;0;0;230000;0;0;599050;0;0;1146219;6362499;2431976;866630;0;741000;817740;805530;0;0;0;1419217;3600811;1436150;1132482;0;0;0;0;0;0;0;1092208;1483248;0;0;0;0;0;2354960;31131987;28553682;24247666;23400433;15018497;26542424;28306827;31677524;42411461;56736585;59530949;7409349;6825095;5228028;5422891;3455686;6299218;6496957;6597260;11079551;13607867;15864392;15114031;12822340;11876726;10003288;5459359;12363295;11615585;14382185;18321265;23820880;27772250;6533607;5188000;4842085;5364399;3352208;5804985;6859536;6897242;7283645;11845278;10025105;2075000;3718247;2300827;2609855;2751244;2074926;3334749;3800837;5727000;7462560;5869202;
0203000;"Powiat głogowski";59760236;59377125;62037385;73787943;68801003;62360714;85151976;91289629;110552653;97458433;104735060;9338286;9077253;8647805;11070485;12824463;11618995;11839305;10651495;13454573;13154115;15054015;26180764;25476348;28512700;35950614;31325852;25170355;38706589;33951523;48010937;43299912;40139204;18253150;19002822;21199188;18941991;18456635;19170973;26634512;34536948;32958126;25221276;34371155;5988036;5820702;3677692;7824853;6194053;6400391;7971570;12149663;16129017;15783130;15170686;16144941;14917028;25290347;26984300;25661945;14825475;17971064;15436518;44499029;18592781;9685550;1242320;792000;2195877;3536285;5200663;3258352;3586005;327683;2680154;1899210;0;8069566;7157838;12239702;15464246;11978564;7079124;9139714;6568949;21960856;5820335;0;4620472;6276322;9091998;6543416;6419885;3134209;4979650;6157886;10803702;4113196;4166750;2212583;0;1762770;1440353;2062833;1353790;0;2382000;9054317;6760040;5295800;43615295;44460097;36747038;46803643;43139058;47535239;67180912;75853111;66053624;78865652;95049510;8095966;8285253;6451928;7534200;7623800;8360643;8253300;10323812;10774419;11254905;14831015;18111198;18318510;16272998;20486368;19347288;18091231;29566875;27382574;26050081;37479577;40139204;13632678;12726500;12107190;12398575;12036750;16036764;21654862;28379062;22154424;21108080;30204405;3775453;5129834;1914922;6384500;4131220;5046601;7705875;9767663;7074700;9023090;9874886;
0204000;"Powiat górowski";715000;325138;593000;0;233000;1622000;1149000;1341000;3666165;5580300;8007650;0;0;0;0;0;0;0;0;154000;1048500;815000;185000;0;0;0;0;446000;401000;0;963500;1929800;3705300;380000;0;0;0;0;1108000;748000;1156000;1408665;1150000;2364000;0;0;0;0;0;0;0;0;1140000;1452000;1123350;0;0;0;0;0;0;0;1156000;0;0;389800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;389800;0;0;0;0;0;0;0;1156000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;715000;325138;593000;0;233000;1622000;681000;0;3666165;5580300;7617850;0;0;0;0;0;0;0;0;154000;1048500;815000;185000;0;0;0;0;446000;401000;0;963500;1929800;3315500;380000;0;0;0;0;1108000;0;0;1408665;1150000;2364000;0;0;0;0;0;0;0;0;1140000;1452000;1123350;
0205000;"Powiat jaworski";7842308;12415117;10831860;10919744;7879740;11818300;13750866;17506962;20129928;20714892;28311863;559000;1904068;1335630;1330500;912000;976500;2335068;2438950;2585467;2056000;3352620;1996828;3368640;2555500;3557300;3129740;3893800;3676570;5938957;6320103;7816412;8131500;2316520;2297000;2779700;2903000;1869000;3953000;3857300;4602902;7653126;5295996;9117868;2969960;4845409;4161030;3128944;1969000;2995000;3881928;4526153;3571232;5546484;7709875;0;0;0;0;0;0;0;516600;0;0;1919000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;536000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7842308;12172253;10831860;10919744;7879740;11818300;13750866;16990362;19990928;20344892;26392863;559000;1904068;1335630;1330500;912000;976500;2335068;2352350;2585467;2056000;3209620;1996828;3368640;2555500;3557300;3129740;3893800;3676570;5698210;6320103;7816412;7595500;2316520;2297000;2779700;2903000;1869000;3953000;3857300;4602902;7514126;5295996;8762868;2969960;4602545;4161030;3128944;1969000;2995000;3881928;4336900;3571232;5176484;6824875;
0206000;"Powiat karkonoski";36499588;26553410;30178864;43572587;47176813;72313275;32781200;36779362;44081577;44383340;103579876;5604717;6559014;5569653;11425271;10505457;10756357;9453942;7891031;10764994;4852943;21130697;12163714;10207562;12074787;16109987;14291773;36118832;12299150;17968767;21293024;19104552;40788691;9921652;6648834;8351534;10045660;14445952;19087962;8158108;6682414;7794259;9429395;23171117;8809505;3138000;4182890;5991669;7933631;6350124;2870000;4237150;4229300;10996450;18489371;11539687;5075594;14308655;23843435;23715494;45657191;9344751;14474993;22254959;13649898;24111074;1559227;1292574;3038624;7014950;4887487;6490617;3448498;3642751;5916494;0;7152862;4021714;1961186;6607497;8345953;7124882;25485112;4788635;7989593;13874406;6158778;10473518;4073646;1556834;4662534;6121060;8614585;13156462;0;2842649;2274059;1347250;2616694;1885100;0;0;2361472;3088540;0;0;0;0;5636450;3868000;24959901;21477816;15870209;19729152;23461319;26656084;23436449;22304369;21826618;30733442;79468802;4045490;5266440;2531029;4410321;5617970;4265740;6005444;4248280;4848500;4345523;13977835;8142000;8246376;5467290;7764034;7166891;10633720;7510515;9979174;7418618;12945774;30315173;5848006;5092000;3689000;3924600;5831367;5931500;7050490;3839765;5520200;8082145;20554423;6924405;2873000;4182890;3630197;4845091;5825124;2870000;4237150;4039300;5360000;14621371;
0207000;"Powiat kamiennogórski";7227770;7132370;7794832;7276578;7268183;8981268;9004840;11343301;12747857;15880940;16464485;1274530;1108170;1182706;1290200;1329675;1766310;1850040;1955801;2821750;3890500;2731285;2632880;3363700;3997546;3562078;3415029;4136200;3239100;4416500;5004850;6314140;8277700;1871160;1598500;1333580;1831500;1473479;2095758;2209700;3539000;3107257;3603300;3871200;1449200;1062000;1281000;592800;1050000;983000;1706000;1432000;1814000;2073000;1584300;622660;0;354112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;622660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6605110;7132370;7440720;7276578;7002743;8981268;9004840;11203301;12578857;15880940;16464485;1274530;1108170;1082270;1290200;1246235;1766310;1850040;1955801;2821750;3890500;2731285;2632880;3363700;3743870;3562078;3415029;4136200;3239100;4276500;5004850;6314140;8277700;1248500;1598500;1333580;1831500;1291479;2095758;2209700;3539000;2938257;3603300;3871200;1449200;1062000;1281000;592800;1050000;983000;1706000;1432000;1814000;2073000;1584300;
0208000;"Powiat kłodzki";50894052;49935369;45526048;59698180;73654966;66540888;51648689;90158348;103445001;111021283;117961148;9538850;11078651;8139061;18416074;25361943;18234222;11783597;29864850;27949915;19877948;26915259;21237124;23260756;20411901;25795849;32665059;27557654;22888529;34236164;41126251;49225509;52500119;12433094;10507212;11519638;9626367;10156440;16353718;11706178;15260145;23298717;27417148;24158134;7684984;5088750;5455448;5859890;5471524;4395294;5270385;10797189;11070118;14500678;14387636;6668956;6952630;4946353;23202957;36030098;23192307;9957189;35189286;35748064;21613579;24884209;0;1233226;0;10676211;16624735;10234516;2715172;19951346;13267771;2084175;2905696;3899386;4513253;3494837;9420975;15597321;9113411;4820921;12316105;14962421;10536666;12139154;1551856;1206151;763335;2236381;3512292;3654086;2136273;2097777;6158067;7651562;8786769;906756;0;0;0;0;0;0;824058;0;1341176;0;44225096;42982739;40579695;36495223;37624868;43348581;41691500;54969062;67696937;89407704;93076939;9227892;9845425;7909061;7739863;8737208;7999706;9068425;9913504;14682144;17793773;24009563;17337738;18747503;16917064;16374874;17067738;18444243;18067608;21920059;26163830;38688843;40360965;10881238;9301061;10756303;7389986;6644148;12699632;9569905;13162368;17140650;19765586;15371365;6778228;5088750;4997267;4990500;5175774;4205000;4985562;9973131;9710313;13159502;13335046;
