"Kod";"Nazwa";"ogółem;ogółem;2019;[zł]";"ogółem;ogółem;2020;[zł]";"ogółem;1 izbowe;2019;[zł]";"ogółem;1 izbowe;2020;[zł]";"ogółem;2 izbowe;2019;[zł]";"ogółem;2 izbowe;2020;[zł]";"ogółem;3 izbowe;2019;[zł]";"ogółem;3 izbowe;2020;[zł]";"ogółem;4 izbowe i większe;2019;[zł]";"ogółem;4 izbowe i większe;2020;[zł]";"sprzedaż na wolnym rynku;ogółem;2019;[zł]";"sprzedaż na wolnym rynku;ogółem;2020;[zł]";"sprzedaż na wolnym rynku;1 izbowe;2019;[zł]";"sprzedaż na wolnym rynku;1 izbowe;2020;[zł]";"sprzedaż na wolnym rynku;2 izbowe;2019;[zł]";"sprzedaż na wolnym rynku;2 izbowe;2020;[zł]";"sprzedaż na wolnym rynku;3 izbowe;2019;[zł]";"sprzedaż na wolnym rynku;3 izbowe;2020;[zł]";"sprzedaż na wolnym rynku;4 izbowe i większe;2019;[zł]";"sprzedaż na wolnym rynku;4 izbowe i większe;2020;[zł]";"sprzedaż przetargowa;ogółem;2019;[zł]";"sprzedaż przetargowa;ogółem;2020;[zł]";"sprzedaż przetargowa;1 izbowe;2019;[zł]";"sprzedaż przetargowa;1 izbowe;2020;[zł]";"sprzedaż przetargowa;2 izbowe;2019;[zł]";"sprzedaż przetargowa;2 izbowe;2020;[zł]";"sprzedaż przetargowa;3 izbowe;2019;[zł]";"sprzedaż przetargowa;3 izbowe;2020;[zł]";"sprzedaż przetargowa;4 izbowe i większe;2019;[zł]";"sprzedaż przetargowa;4 izbowe i większe;2020;[zł]";"sprzedaż bezprzetargowa;ogółem;2019;[zł]";"sprzedaż bezprzetargowa;ogółem;2020;[zł]";"sprzedaż bezprzetargowa;1 izbowe;2019;[zł]";"sprzedaż bezprzetargowa;1 izbowe;2020;[zł]";"sprzedaż bezprzetargowa;2 izbowe;2019;[zł]";"sprzedaż bezprzetargowa;2 izbowe;2020;[zł]";"sprzedaż bezprzetargowa;3 izbowe;2019;[zł]";"sprzedaż bezprzetargowa;3 izbowe;2020;[zł]";"sprzedaż bezprzetargowa;4 izbowe i większe;2019;[zł]";"sprzedaż bezprzetargowa;4 izbowe i większe;2020;[zł]";
0000000;"POLSKA";4730;5135;6358;6873;5380;5794;4582;4963;4164;4529;4844;5269;6458;6963;5486;5895;4702;5107;4258;4640;2287;2581;2130;3085;2272;2614;2296;2608;2361;2360;1064;1015;879;1523;1072;1027;1030;989;1147;1050;
0200000;"DOLNOŚLĄSKIE";4602;4591;6306;6449;5341;5238;4536;4545;3925;3989;4791;4779;6543;6781;5528;5443;4737;4752;4072;4115;1816;1996;1858;2063;1756;1884;1810;2117;1968;1813;1961;1826;1798;3364;1776;1680;1931;1744;2214;1868;
0201000;"Powiat bolesławiecki";3559;4175;2997;1893;3737;4297;3562;4193;3531;3956;3602;4200;2997;1893;3758;4312;3626;4241;3546;4028;2277;2105;0;0;1136;0;2739;1220;2289;2653;683;2473;0;0;0;0;0;0;0;2447;
0202000;"Powiat dzierżoniowski";2114;2244;2560;2364;1950;2036;2101;2301;2247;2333;2321;2579;3079;2480;2129;2445;2333;2675;2535;2686;1591;1810;1632;1936;1473;1749;1681;1812;1517;1823;1485;1908;0;0;0;0;2304;1908;0;0;
0203000;"Powiat głogowski";3505;4034;3969;4547;3792;4146;3501;3763;3401;3949;3507;4047;3969;4547;3825;4174;3504;3767;3392;3964;3230;3753;0;0;0;0;0;0;3414;0;2863;2714;0;0;0;0;0;0;0;0;
0204000;"Powiat górowski";1475;1671;0;0;1371;1724;1372;1414;1828;1698;1809;1727;0;1740;1789;2184;1660;1700;2044;1729;0;0;0;0;0;0;0;0;0;0;132;138;0;0;723;157;152;136;79;136;
0205000;"Powiat jaworski";2680;2848;2154;3279;2846;2307;2924;2626;2636;3288;2852;3309;2154;3512;3111;2747;3047;2670;2660;3797;0;0;0;0;0;0;0;0;0;0;2417;2435;0;0;734;2216;2425;2443;2420;2537;
0206000;"Powiat karkonoski";3284;3764;5130;8877;5708;6401;2724;3064;3066;2993;3335;3840;5130;8916;5754;6421;2801;3159;3155;3029;0;2083;0;0;0;0;0;0;0;0;1134;1927;0;0;0;2162;0;2177;888;1819;
0207000;"Powiat kamiennogórski";1913;2177;915;1111;1896;2064;1824;2179;2161;2295;1929;2190;915;972;1899;2095;1856;2179;2177;2380;1498;1815;0;0;1547;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0208000;"Powiat kłodzki";2218;2623;2583;2905;2045;2773;2288;2676;2341;2353;2438;2782;2737;2975;2186;3114;2482;2749;2514;2524;1793;2444;2346;1426;1685;2419;1793;2679;1857;1668;1403;1464;930;0;1528;1504;1392;1426;1292;1320;
